Date,Hour,Revenue,Orders,Customers
2022-12-01,8,670.63,6,3
2022-12-01,9,1971.1200000000001,11,8
2022-12-01,10,1575.31,9,7
2022-12-01,11,3211.66,10,9
2022-12-01,12,3405.2400000000002,20,18
2022-12-01,13,3574.83,12,12
2022-12-01,14,1980.1200000000001,8,7
2022-12-01,15,2207.65,14,11
2022-12-01,16,1534.18,10,9
2022-12-01,17,348.59000000000003,4,4
2022-12-02,7,104.2,2,2
2022-12-02,8,798.03,6,3
2022-12-02,9,1255.91,8,5
2022-12-02,10,3133.67,13,9
2022-12-02,11,2846.27,9,8
2022-12-02,12,2689.1,16,13
2022-12-02,13,2109.58,12,11
2022-12-02,14,2466.13,11,7
2022-12-02,15,3470.73,16,11
2022-12-02,16,1434.15,9,9
2022-12-02,17,1090.18,6,6
2022-12-02,18,1668.24,9,8
2022-12-02,19,540.65,2,2
2022-12-03,9,386.42,3,3
2022-12-03,10,1504.95,6,6
2022-12-03,11,425.68,4,4
2022-12-03,12,2636.79,9,8
2022-12-03,13,1348.28,4,4
2022-12-03,14,2738.86,10,9
2022-12-03,15,1028.99,6,5
2022-12-03,16,698.35,4,3
2022-12-03,17,1264.91,3,2
2022-12-05,10,1310.08,7,7
2022-12-05,11,3621.3,14,12
2022-12-05,12,4637.6,19,15
2022-12-05,13,4410.99,15,15
2022-12-05,14,2390.03,8,7
2022-12-05,15,2846.66,15,14
2022-12-05,16,2112.98,4,4
2022-12-06,8,415.68,4,2
2022-12-06,9,628.0500000000001,3,3
2022-12-06,10,1631.9,11,10
2022-12-06,11,2445.2200000000003,12,12
2022-12-06,12,5099.96,19,18
2022-12-06,13,3350.58,14,13
2022-12-06,14,1847.68,10,8
2022-12-06,15,2277.75,11,11
2022-12-06,16,235.02,2,2
2022-12-06,17,658.92,2,2
2022-12-07,9,1151.38,6,6
2022-12-07,10,2075.1,8,8
2022-12-07,11,1319.98,6,6
2022-12-07,12,1396.69,8,8
2022-12-07,13,2875.32,13,12
2022-12-07,14,1712.28,7,7
2022-12-07,15,2199.36,11,10
2022-12-07,16,111.15,1,1
2022-12-07,17,38.1,1,1
2022-12-08,8,213.05,2,2
2022-12-08,9,1313.04,7,7
2022-12-08,10,3153.99,14,13
2022-12-08,11,1232.89,10,7
2022-12-08,12,3800.16,16,16
2022-12-08,13,3852.28,17,16
2022-12-08,14,2083.36,8,8
2022-12-08,15,3015.23,12,12
2022-12-08,16,2788.9,9,8
2022-12-08,17,167.09,1,1
2022-12-09,8,165.9,1,1
2022-12-09,9,907.25,6,6
2022-12-09,10,2744.23,12,10
2022-12-09,11,1075.21,5,5
2022-12-09,12,2879.81,11,11
2022-12-09,13,2248.97,13,12
2022-12-09,14,3776.41,15,15
2022-12-09,15,1586.68,9,7
2022-12-09,16,1533.1100000000001,7,7
2022-12-09,17,229.85,2,2
2022-12-09,18,316.4,2,2
2022-12-09,19,729.74,3,3
2022-12-09,20,300.64,1,1
2022-12-10,9,1537.81,5,4
2022-12-10,10,2352.06,12,10
2022-12-10,11,3719.8,15,12
2022-12-10,12,2178.5,11,8
2022-12-10,13,1928.56,9,8
2022-12-10,14,1364.32,5,5
2022-12-10,15,1625.2,5,5
2022-12-10,16,158.0,1,1
2022-12-10,17,259.0,2,2
2022-12-12,10,1191.25,4,4
2022-12-12,11,3056.23,11,11
2022-12-12,12,1853.54,13,12
2022-12-12,13,2156.12,6,6
2022-12-12,14,1125.04,4,4
2022-12-12,16,1326.33,3,3
2022-12-13,9,1198.01,6,6
2022-12-13,10,1777.04,9,8
2022-12-13,11,1075.02,7,7
2022-12-13,12,1698.28,4,4
2022-12-13,13,3025.87,7,7
2022-12-13,14,1768.23,7,7
2022-12-13,15,4144.66,15,13
2022-12-13,16,26.549999999999997,4,3
2022-12-13,17,368.18,2,2
2022-12-14,9,464.28000000000003,3,3
2022-12-14,10,1127.26,6,6
2022-12-14,11,3372.76,15,13
2022-12-14,12,4843.73,12,12
2022-12-14,13,3967.22,20,18
2022-12-14,14,1857.47,9,9
2022-12-14,15,1041.08,4,4
2022-12-14,16,917.15,4,4
2022-12-14,17,202.45,1,1
2022-12-15,9,1160.84,5,5
2022-12-15,10,2080.35,8,8
2022-12-15,11,2011.58,10,10
2022-12-15,12,1856.36,11,11
2022-12-15,13,1954.99,9,8
2022-12-15,14,1845.3600000000001,7,7
2022-12-15,15,3018.31,7,7
2022-12-15,16,1068.99,8,5
2022-12-15,17,227.22,1,1
2022-12-16,8,523.47,4,4
2022-12-16,9,1309.45,9,7
2022-12-16,10,1550.56,9,8
2022-12-16,11,1473.58,9,8
2022-12-16,12,2857.15,11,10
2022-12-16,13,4037.31,10,10
2022-12-16,14,2743.64,9,9
2022-12-16,15,1808.56,12,11
2022-12-16,16,1215.66,7,7
2022-12-16,17,2560.71,12,11
2022-12-16,18,784.85,5,5
2022-12-16,19,1428.84,6,6
2022-12-17,8,357.01,1,1
2022-12-17,9,797.2,5,5
2022-12-17,10,307.45,4,4
2022-12-17,11,1769.8,7,6
2022-12-17,12,974.62,7,7
2022-12-17,13,850.24,6,5
2022-12-17,14,1140.3,6,6
2022-12-17,15,1781.58,5,5
2022-12-17,16,476.57,2,2
2022-12-17,17,776.24,5,5
2022-12-17,18,33.0,1,1
2022-12-19,10,211.85000000000002,1,1
2022-12-19,11,670.83,3,3
2022-12-19,12,350.17,1,1
2022-12-19,13,722.22,2,2
2022-12-19,14,1662.81,7,6
2022-12-19,15,991.99,3,3
2022-12-20,9,941.13,2,2
2022-12-20,10,1224.07,5,5
2022-12-20,11,1037.13,4,4
2022-12-20,12,1131.95,6,5
2022-12-20,13,1767.68,8,6
2022-12-20,14,1343.59,6,6
2022-12-20,15,925.4100000000001,7,6
2022-12-20,16,853.59,4,3
2022-12-20,17,831.83,1,1
2022-12-21,9,988.5500000000001,3,3
2022-12-21,10,642.98,5,4
2022-12-21,12,101.5,1,1
2022-12-21,13,994.63,5,5
2022-12-21,14,1048.3700000000001,3,3
2022-12-21,15,429.84000000000003,3,3
2022-12-21,16,114.64,2,2
2022-12-21,17,424.17,1,1
2022-12-22,10,531.5,1,1
2022-12-22,11,493.58000000000004,2,2
2022-12-22,12,608.6,3,2
2022-12-22,13,785.32,4,4
2022-12-22,14,508.32,1,1
2022-12-22,16,90.4,1,1
2022-12-23,10,172.25,1,1
2022-12-23,11,1069.54,4,4
2022-12-23,12,1100.6,3,3
2022-12-23,14,791.54,4,4
2022-12-23,15,70.10000000000001,2,2
2022-12-23,16,353.69,1,1
2023-01-04,10,956.78,5,5
2023-01-04,11,1533.88,5,5
2023-01-04,12,1534.13,5,5
2023-01-04,13,1227.88,6,6
2023-01-04,14,1267.7,6,6
2023-01-04,15,1162.05,5,5
2023-01-04,16,682.92,1,1
2023-01-05,9,510.71999999999997,3,3
2023-01-05,10,1537.06,5,5
2023-01-05,11,1802.76,7,6
2023-01-05,12,2078.42,8,8
2023-01-05,13,1539.8,7,7
2023-01-05,14,608.31,1,1
2023-01-05,15,2222.2,5,5
2023-01-05,16,273.49,2,2
2023-01-05,17,238.55,1,1
2023-01-06,9,1309.99,3,3
2023-01-06,10,347.3,2,2
2023-01-06,11,1395.21,5,5
2023-01-06,12,1599.69,6,6
2023-01-06,13,724.09,3,3
2023-01-06,14,1867.06,5,5
2023-01-06,15,1251.22,6,6
2023-01-06,16,3939.9,4,4
2023-01-06,17,861.58,4,4
2023-01-06,18,535.77,3,3
2023-01-07,9,799.99,4,4
2023-01-07,10,2282.42,8,8
2023-01-07,11,292.35,3,3
2023-01-07,12,3208.36,8,8
2023-01-07,13,1566.17,4,4
2023-01-07,14,2904.75,6,6
2023-01-07,15,1331.31,4,4
2023-01-07,16,860.59,2,2
2023-01-07,17,277.54,1,1
2023-01-09,10,1380.41,5,5
2023-01-09,11,2571.35,11,11
2023-01-09,12,2169.3,9,9
2023-01-09,13,1154.01,4,4
2023-01-09,14,1862.05,9,9
2023-01-09,15,2025.92,7,7
2023-01-09,16,387.1,2,2
2023-01-10,9,2188.4,4,4
2023-01-10,10,796.14,3,3
2023-01-10,11,1435.02,5,5
2023-01-10,12,725.99,3,3
2023-01-10,13,1298.6599999999999,2,2
2023-01-10,14,2111.12,5,4
2023-01-10,15,1258.97,4,4
2023-01-10,16,261.18,2,2
2023-01-10,17,237.19,1,1
2023-01-11,8,1282.8,2,2
2023-01-11,9,1700.18,7,7
2023-01-11,10,942.3,7,7
2023-01-11,11,613.62,5,5
2023-01-11,12,3355.12,12,10
2023-01-11,13,375.96999999999997,5,5
2023-01-11,14,1340.17,4,4
2023-01-11,15,899.05,4,4
2023-01-11,16,71.5,1,1
2023-01-12,9,595.6,2,2
2023-01-12,10,1217.92,5,5
2023-01-12,11,1685.78,5,5
2023-01-12,12,938.21,7,7
2023-01-12,13,1683.7,7,7
2023-01-12,14,863.4,4,4
2023-01-12,15,1962.3300000000002,6,6
2023-01-12,16,1158.88,4,4
2023-01-13,9,1071.03,4,4
2023-01-13,10,1510.87,8,8
2023-01-13,11,1185.68,6,6
2023-01-13,12,1763.17,7,7
2023-01-13,13,428.02,2,2
2023-01-13,14,833.1800000000001,2,2
2023-01-13,15,2409.42,6,6
2023-01-14,8,127.80000000000001,1,1
2023-01-14,9,1616.26,4,4
2023-01-14,10,1689.13,7,7
2023-01-14,11,472.25,4,4
2023-01-14,12,1861.53,6,6
2023-01-14,13,2690.83,5,5
2023-01-14,14,841.88,5,5
2023-01-14,15,175.8,2,2
2023-01-14,16,45.0,1,1
2023-01-14,17,3.35,1,1
2023-01-16,10,541.5,2,2
2023-01-16,11,286.39,3,3
2023-01-16,12,292.54,2,1
2023-01-16,13,641.62,7,5
2023-01-16,14,477.61,1,1
2023-01-16,15,1039.86,4,4
2023-01-16,16,1401.9,4,4
2023-01-17,10,592.46,2,2
2023-01-17,11,4200.96,12,12
2023-01-17,12,1288.25,3,3
2023-01-17,13,1805.6,8,8
2023-01-17,14,1430.48,6,6
2023-01-17,15,960.42,6,6
2023-01-17,16,1835.22,5,5
2023-01-17,17,5.9,1,1
2023-01-18,8,138.35,1,1
2023-01-18,9,627.34,2,2
2023-01-18,10,512.88,5,5
2023-01-18,11,127.08,2,2
2023-01-18,12,726.69,4,4
2023-01-18,13,1206.06,5,5
2023-01-18,14,444.65,1,1
2023-01-18,15,395.83,3,3
2023-01-18,16,489.03,4,3
2023-01-19,8,63.0,1,1
2023-01-19,9,2361.05,4,4
2023-01-19,10,1229.28,3,3
2023-01-19,11,1723.29,5,5
2023-01-19,12,1008.84,5,5
2023-01-19,13,349.82,2,2
2023-01-19,14,1478.6000000000001,5,5
2023-01-19,15,569.65,2,2
2023-01-19,16,923.46,3,3
2023-01-19,17,502.31,2,2
2023-01-20,9,169.88,2,2
2023-01-20,10,1573.3,3,3
2023-01-20,11,387.09,2,2
2023-01-20,12,1699.45,7,7
2023-01-20,13,697.2,4,2
2023-01-20,14,1113.74,6,6
2023-01-20,15,2340.61,4,4
2023-01-20,16,42.2,1,1
2023-01-20,19,222.24,1,1
2023-01-21,9,722.71,3,3
2023-01-21,10,119.7,1,1
2023-01-21,11,2403.46,8,8
2023-01-21,12,802.62,2,2
2023-01-21,13,1836.98,8,8
2023-01-21,14,357.42,6,4
2023-01-21,15,949.15,3,3
2023-01-21,17,54.25,1,1
2023-01-23,10,976.35,4,4
2023-01-23,11,540.29,3,3
2023-01-23,12,1795.8,5,5
2023-01-23,13,1335.13,4,4
2023-01-23,14,858.12,4,4
2023-01-23,15,880.98,5,5
2023-01-23,16,311.25,2,2
2023-01-24,9,884.5500000000001,4,4
2023-01-24,10,1420.53,7,7
2023-01-24,11,1501.01,7,7
2023-01-24,12,850.16,5,5
2023-01-24,13,2558.94,6,6
2023-01-24,14,1122.3,6,6
2023-01-24,15,909.04,6,6
2023-01-24,16,483.86,1,1
2023-01-25,8,417.69,1,1
2023-01-25,9,689.3,3,3
2023-01-25,10,2320.59,6,5
2023-01-25,11,1914.88,9,9
2023-01-25,12,2693.0,11,11
2023-01-25,13,4704.62,12,11
2023-01-25,14,1583.3600000000001,7,7
2023-01-25,15,771.49,5,5
2023-01-25,16,171.48000000000002,2,2
2023-01-26,9,204.14999999999998,3,3
2023-01-26,10,1221.88,6,5
2023-01-26,11,1331.68,3,3
2023-01-26,12,2932.86,10,10
2023-01-26,13,2183.48,9,8
2023-01-26,14,1783.4,7,7
2023-01-26,15,574.23,3,3
2023-01-26,16,109.15,1,1
2023-01-26,17,590.79,4,4
2023-01-27,8,490.88,1,1
2023-01-27,9,1192.3799999999999,2,2
2023-01-27,10,2809.8,6,6
2023-01-27,11,1813.59,3,3
2023-01-27,12,1930.55,7,7
2023-01-27,13,2099.15,8,8
2023-01-27,14,1406.17,7,7
2023-01-27,15,2637.9,5,5
2023-01-27,16,1151.85,7,7
2023-01-27,17,101.05,1,1
2023-01-27,18,247.54,1,1
2023-01-27,19,181.35,1,1
2023-01-28,9,430.85,2,2
2023-01-28,10,1488.86,6,6
2023-01-28,11,888.12,2,2
2023-01-28,12,2377.6,7,7
2023-01-28,13,1479.73,6,6
2023-01-28,14,1348.28,5,5
2023-01-28,15,927.0400000000001,5,5
2023-01-28,16,71.35,1,1
2023-01-30,10,709.38,4,4
2023-01-30,11,626.28,3,3
2023-01-30,12,638.34,3,3
2023-01-30,13,785.85,3,3
2023-01-30,14,1803.57,6,6
2023-01-30,15,1703.53,5,5
2023-01-31,8,295.95,1,1
2023-01-31,9,1963.97,6,5
2023-01-31,10,674.6899999999999,3,3
2023-01-31,11,1308.41,5,5
2023-01-31,12,1606.47,8,8
2023-01-31,13,2104.54,7,7
2023-01-31,14,1130.86,7,7
2023-01-31,15,1352.04,10,9
2023-01-31,16,378.7,5,3
2023-02-01,8,1050.67,2,2
2023-02-01,9,872.47,3,3
2023-02-01,10,2423.07,7,7
2023-02-01,11,2490.11,11,10
2023-02-01,12,1195.64,7,7
2023-02-01,13,3111.01,9,9
2023-02-01,14,1325.15,7,7
2023-02-01,15,553.03,3,3
2023-02-01,16,308.2,2,2
2023-02-02,9,811.13,3,3
2023-02-02,10,2120.73,6,6
2023-02-02,11,570.99,5,5
2023-02-02,12,1833.18,10,10
2023-02-02,13,1217.93,6,6
2023-02-02,14,1725.74,9,9
2023-02-02,15,834.96,7,7
2023-02-02,16,444.85,2,2
2023-02-02,17,1077.92,3,3
2023-02-03,8,250.55,1,1
2023-02-03,9,380.11,4,4
2023-02-03,10,1011.61,4,4
2023-02-03,11,787.89,4,4
2023-02-03,12,1403.47,5,5
2023-02-03,13,2662.16,8,8
2023-02-03,14,1237.8600000000001,7,7
2023-02-03,15,697.2,6,5
2023-02-03,17,475.37,1,1
2023-02-03,18,340.56,1,1
2023-02-03,19,304.0,2,2
2023-02-04,8,655.55,1,1
2023-02-04,9,956.87,4,4
2023-02-04,10,758.5,4,3
2023-02-04,11,2060.32,7,7
2023-02-04,12,1414.45,4,4
2023-02-04,13,676.97,4,3
2023-02-04,14,1809.08,8,8
2023-02-04,15,361.94,3,3
2023-02-04,16,197.03,1,1
2023-02-06,11,527.43,2,2
2023-02-06,12,287.9,2,2
2023-02-06,13,30.299999999999997,1,1
2023-02-06,14,1232.42,4,4
2023-02-06,15,94.27,1,1
2023-02-06,16,108.07,1,1
2023-02-07,9,807.65,4,4
2023-02-07,10,362.17,3,3
2023-02-07,11,2738.31,5,5
2023-02-07,12,934.85,4,4
2023-02-07,13,1563.86,7,7
2023-02-07,14,2489.32,5,5
2023-02-07,15,846.87,6,4
2023-02-07,16,307.23,1,1
2023-02-08,9,178.12,2,2
2023-02-08,10,894.2,7,6
2023-02-08,11,880.48,3,3
2023-02-08,12,1401.0,6,6
2023-02-08,13,579.13,3,3
2023-02-08,14,1930.72,5,5
2023-02-08,15,874.82,4,4
2023-02-08,16,103.1,1,1
2023-02-08,17,77.55,1,1
2023-02-09,9,78.62,1,1
2023-02-09,10,1684.74,6,5
2023-02-09,11,538.54,3,3
2023-02-09,12,267.4,3,3
2023-02-09,13,1288.76,4,4
2023-02-09,14,789.47,3,3
2023-02-09,15,374.19,2,2
2023-02-09,16,119.15,1,1
2023-02-10,9,443.89,2,2
2023-02-10,10,1860.32,4,4
2023-02-10,11,928.88,6,6
2023-02-10,12,984.1999999999999,4,4
2023-02-10,13,1021.65,5,5
2023-02-10,14,942.92,4,4
2023-02-10,15,595.28,2,2
2023-02-10,16,679.54,3,3
2023-02-10,17,330.61,3,3
2023-02-10,19,223.6,2,2
2023-02-11,8,259.05,1,1
2023-02-11,10,1578.84,6,6
2023-02-11,11,427.15,4,4
2023-02-11,12,1874.32,6,6
2023-02-11,13,652.8100000000001,4,4
2023-02-11,14,354.95,1,1
2023-02-11,15,653.35,3,3
2023-02-11,16,252.29,1,1
2023-02-11,17,2.42,1,1
2023-02-13,10,176.65,1,1
2023-02-13,11,742.28,4,4
2023-02-13,12,1547.53,5,5
2023-02-13,13,484.31,3,3
2023-02-13,14,392.86,2,2
2023-02-13,15,813.74,4,4
2023-02-13,16,390.28,1,1
2023-02-14,9,2699.06,5,5
2023-02-14,10,807.36,3,3
2023-02-14,11,64.7,2,2
2023-02-14,12,1620.72,5,5
2023-02-14,13,503.63,3,3
2023-02-14,14,846.41,6,6
2023-02-14,15,1570.79,5,5
2023-02-15,8,511.06,2,1
2023-02-15,9,1291.18,7,6
2023-02-15,10,944.54,4,4
2023-02-15,11,1945.91,8,7
2023-02-15,12,1483.09,6,6
2023-02-15,13,930.4300000000001,7,7
2023-02-15,14,2369.47,6,5
2023-02-15,15,469.69,4,4
2023-02-15,16,89.2,1,1
2023-02-15,17,344.69,1,1
2023-02-16,8,385.7,2,2
2023-02-16,9,1669.56,6,6
2023-02-16,10,2485.54,10,10
2023-02-16,11,1786.74,8,8
2023-02-16,12,2885.39,8,7
2023-02-16,13,1114.33,5,5
2023-02-16,14,2204.7400000000002,6,6
2023-02-16,15,260.9,1,1
2023-02-16,16,1089.82,5,3
2023-02-17,8,845.34,3,3
2023-02-17,9,219.9,3,2
2023-02-17,10,1045.77,4,4
2023-02-17,11,926.95,4,4
2023-02-17,12,6035.33,15,12
2023-02-17,13,927.9,5,5
2023-02-17,14,1905.89,9,8
2023-02-17,15,193.78,2,2
2023-02-17,16,301.1,3,3
2023-02-17,17,288.0,2,2
2023-02-17,19,246.82999999999998,2,2
2023-02-18,8,713.12,2,2
2023-02-18,9,908.62,3,3
2023-02-18,10,1445.3799999999999,5,5
2023-02-18,11,1516.18,6,6
2023-02-18,12,962.95,6,6
2023-02-18,13,1231.5,5,4
2023-02-18,14,491.31,2,2
2023-02-18,15,257.96000000000004,4,4
2023-02-20,10,743.0,4,4
2023-02-20,11,153.67000000000002,2,2
2023-02-20,12,1648.94,4,4
2023-02-20,13,1895.88,6,6
2023-02-20,14,2413.48,5,5
2023-02-20,15,574.08,3,3
2023-02-21,8,585.82,2,2
2023-02-21,9,817.25,4,4
2023-02-21,10,520.75,5,4
2023-02-21,11,1721.3200000000002,3,3
2023-02-21,12,1875.02,4,4
2023-02-21,13,1938.65,4,4
2023-02-21,14,241.44,2,2
2023-02-21,15,1681.6200000000001,3,3
2023-02-21,17,473.93,2,2
2023-02-22,9,588.03,2,2
2023-02-22,10,644.57,4,3
2023-02-22,11,2141.18,8,8
2023-02-22,12,759.87,6,6
2023-02-22,13,4009.64,6,6
2023-02-22,14,1105.14,3,3
2023-02-22,15,2142.89,7,7
2023-02-22,16,855.98,4,3
2023-02-22,17,887.21,3,3
2023-02-23,8,312.55,1,1
2023-02-23,9,2281.88,6,6
2023-02-23,10,1790.7,7,7
2023-02-23,11,255.93,2,2
2023-02-23,12,2940.64,9,9
2023-02-23,13,2236.02,7,6
2023-02-23,14,428.2,3,3
2023-02-23,15,731.6,4,4
2023-02-23,16,801.66,5,4
2023-02-23,17,69.59,1,1
2023-02-24,9,2889.23,6,6
2023-02-24,10,1839.57,6,6
2023-02-24,11,1628.59,6,6
2023-02-24,12,2083.44,8,8
2023-02-24,13,832.48,3,3
2023-02-24,14,2044.57,5,5
2023-02-24,15,1027.24,7,7
2023-02-24,16,1652.69,5,4
2023-02-24,17,390.52000000000004,3,3
2023-02-24,18,1014.23,2,2
2023-02-25,8,614.22,2,2
2023-02-25,9,838.53,2,2
2023-02-25,10,3059.68,8,8
2023-02-25,11,2014.42,5,5
2023-02-25,12,1226.19,4,4
2023-02-25,13,1887.6100000000001,9,8
2023-02-25,14,1666.69,5,4
2023-02-25,15,695.02,4,4
2023-02-25,16,80.35,1,1
2023-02-25,17,599.41,2,2
2023-02-27,10,876.9300000000001,4,4
2023-02-27,11,1832.89,8,8
2023-02-27,12,1463.77,6,5
2023-02-27,13,912.25,4,3
2023-02-27,14,1069.74,6,6
2023-02-27,15,561.29,3,3
2023-02-28,8,282.56,1,1
2023-02-28,9,1254.3500000000001,4,4
2023-02-28,10,1889.74,7,7
2023-02-28,11,1334.71,5,4
2023-02-28,12,1903.29,7,7
2023-02-28,13,2128.2,11,10
2023-02-28,14,1004.89,6,6
2023-02-28,15,1671.43,6,6
2023-02-28,16,289.38,2,2
2023-02-28,17,175.05,1,1
2023-03-01,8,863.35,4,4
2023-03-01,9,3515.04,5,4
2023-03-01,10,1918.08,6,6
2023-03-01,11,1167.04,5,5
2023-03-01,12,2875.96,9,9
2023-03-01,13,803.89,7,6
2023-03-01,14,1512.73,7,7
2023-03-01,15,604.1,5,5
2023-03-01,16,272.05,1,1
2023-03-01,17,572.69,2,2
2023-03-02,8,1363.04,2,2
2023-03-02,9,1198.51,5,5
2023-03-02,10,58.65,1,1
2023-03-02,11,1546.9,4,4
2023-03-02,12,2153.38,5,5
2023-03-02,13,1326.96,3,3
2023-03-02,14,1566.41,8,7
2023-03-02,15,183.0,1,1
2023-03-02,16,1995.42,4,4
2023-03-02,17,432.5,2,2
2023-03-03,8,975.58,3,3
2023-03-03,9,526.77,3,3
2023-03-03,10,1292.5800000000002,5,5
2023-03-03,11,336.8,3,3
2023-03-03,12,2058.1,10,9
2023-03-03,13,1911.91,2,2
2023-03-03,14,1713.19,6,6
2023-03-03,15,932.23,6,6
2023-03-03,16,751.75,3,3
2023-03-03,18,313.93,3,3
2023-03-03,19,239.19,2,2
2023-03-04,8,721.27,2,2
2023-03-04,9,853.89,3,3
2023-03-04,10,2039.76,9,6
2023-03-04,11,299.26,3,2
2023-03-04,12,1473.43,9,9
2023-03-04,13,1062.72,7,7
2023-03-04,14,2694.75,7,6
2023-03-04,15,484.63,2,2
2023-03-04,17,103.91,1,1
2023-03-06,10,343.61,4,4
2023-03-06,11,1576.92,6,6
2023-03-06,12,2192.49,6,6
2023-03-06,14,1652.26,7,6
2023-03-06,15,768.36,2,2
2023-03-07,8,95.65,1,1
2023-03-07,9,1244.74,7,7
2023-03-07,10,2006.8,3,3
2023-03-07,11,463.97,5,4
2023-03-07,12,2130.54,9,8
2023-03-07,13,2563.52,11,11
2023-03-07,14,1127.22,7,6
2023-03-07,15,227.35000000000002,2,2
2023-03-07,16,92.80000000000001,1,1
2023-03-07,17,1416.07,5,4
2023-03-08,8,323.65,2,2
2023-03-08,9,2213.23,4,4
2023-03-08,10,507.44,3,3
2023-03-08,11,1578.57,5,5
2023-03-08,12,3021.77,9,9
2023-03-08,13,1375.14,5,5
2023-03-08,14,2719.81,4,3
2023-03-08,15,1425.75,5,5
2023-03-08,16,735.9300000000001,3,2
2023-03-08,17,327.85,2,1
2023-03-09,8,1184.74,4,4
2023-03-09,9,753.49,6,4
2023-03-09,10,416.1,3,3
2023-03-09,11,4094.92,10,10
2023-03-09,12,1658.9,10,10
2023-03-09,13,1942.38,4,4
2023-03-09,14,1182.63,7,6
2023-03-09,15,986.98,3,3
2023-03-10,8,701.79,3,3
2023-03-10,9,674.13,3,3
2023-03-10,10,1872.68,8,7
2023-03-10,11,253.14999999999998,2,2
2023-03-10,12,2622.36,8,8
2023-03-10,13,1778.24,6,6
2023-03-10,14,2011.99,6,6
2023-03-10,15,572.27,6,5
2023-03-10,16,242.63,2,2
2023-03-10,19,166.5,1,1
2023-03-11,8,471.68,2,2
2023-03-11,9,989.1,4,4
2023-03-11,10,198.9,2,2
2023-03-11,11,1416.43,4,4
2023-03-11,12,1888.01,9,8
2023-03-11,13,1632.6100000000001,5,5
2023-03-11,14,1470.88,8,8
2023-03-11,15,550.0,3,3
2023-03-11,16,136.99,3,3
2023-03-13,10,1014.54,4,4
2023-03-13,11,876.77,4,4
2023-03-13,12,340.19,2,2
2023-03-13,13,560.47,2,2
2023-03-13,14,447.18,2,2
2023-03-13,15,513.37,2,2
2023-03-14,8,978.6,4,4
2023-03-14,9,891.76,4,4
2023-03-14,10,1057.26,5,4
2023-03-14,11,1678.0,5,5
2023-03-14,12,2179.6,9,7
2023-03-14,13,1236.21,6,6
2023-03-14,14,710.24,2,2
2023-03-14,15,1612.65,6,6
2023-03-14,16,264.76,2,1
2023-03-15,8,429.73,2,2
2023-03-15,9,825.13,3,3
2023-03-15,10,1832.49,4,4
2023-03-15,11,1152.99,4,4
2023-03-15,12,1448.87,7,7
2023-03-15,13,1153.77,4,4
2023-03-15,14,1251.2,5,5
2023-03-15,15,1565.37,5,4
2023-03-15,16,759.27,3,3
